address,collateral_usd,supply_usd,borrow_usd
GBQUDP3AHEIC5QMD3WEMWCO5ZP37NT6O5WIKH3TSWX7IRIQIJFAJ5ESY,"$123,487.37",$0.00,$0.00
GDPYGHVT4QVEOXMKZLJBQSR5ADOTJJAVVKGZU3P6HBV2L7WXUDDKLRZY,"$117,406.79",$0.00,$0.00
GBC6W2N2256QRJCEVJEPORMACVV2YILVIQ5XEVHZWBBD5AS3JXVE2AYY,"$113,812.99",$0.00,$0.00
GB5F2BYPFRSCMQPPR226EDCMZDVAVYNN5JIEDLPIN2AV3QMYKUFNXHNB,"$108,682.98",$0.00,$0.00
GCWAUSZKOQYTRTNVILVWSZI53ZGHWZT62LXFHGXZ5PKKYA2RLABJSK76,"$105,564.28",$0.00,$0.00
GBZFDKXNQRVP63DWQE3U6UCH5IQEB5FTD5ON2QPBZZGMIGWVGO3NTXET,"$105,071.07",$0.00,$0.00
GBJ3QYOYXCXQQF2DCWUM4Y2K7CHTX37P7QFNRTN2Q5YRTWAATN5DIT3E,"$101,018.66",$0.00,$0.00
GDD7N6ACZHGW2ELKV267HLGYBPWOLW3R3RDP4CWOTVZQHOVNVBOKPT4J,"$96,335.76",$0.00,$0.00
GDCY2PONYVU46RDOWURDYTT7K46EWI2LDZO7NPK5MSB7WSRXAI5IOB4C,"$96,264.83",$0.00,$0.00
GA2ZS6XO2MMSQWY44TFN7MVQKH6CHRIVGRXV2OU6AWWZF5GS3UN2LTCW,"$93,469.89",$0.00,$0.00
GDMTWBFDM4ATYMMNYF2MCDAZB5MSGDQ6FUZMQLBRVJIYX32DSII7TRPJ,"$91,810.19",$0.00,$0.00
GCJ225VAMMVU26TALZCJI2H75V6SNM3UIGGTGHUKQHITYHPB4E7CUR2G,"$90,091.40",$0.00,$0.00
GCWTO6IIAN5OGSJTUYBQOPZ2MYINXETF3OON5FEUKB4F2GK6VVDRXQ6D,"$86,087.24",$0.00,$0.00
GBWZH4ZFYYMSCGUGCISDANJFLJ2K6KNXT3UI7Q34MXXD64CKJBVZB4E3,"$83,802.68",$0.00,$0.00
GC4LSUUXUCZHLVKME6ED2PYR7NMQZVOAIM4AU6ZHSIHJJCYKJJWFFZCV,"$80,450.92",$0.00,$0.00
GD5ZJB3TDU6JIBIEWQNCDN2KEOBI5XX2G5RZUBM4SL7KWCCIO3FDIFTF,"$80,034.11",$0.00,$0.00
GCGKGHQF72PUXOIA7KE76RJS55K2QEAFMZZYNGJGV6GILPWZ4RP2MCYY,"$79,338.77",$0.00,$0.00
GDIDFEUYTZFIUFVFJRFGVEOPRJF5BGR5OR56N2EBSQ2POFO4WPT6YE4S,"$78,036.32",$0.00,$0.00
GD7VCJNF34LV5SCMDFNDW5JWIRUMMSNJMMOPST2OYATFTNXJ5SUJZCBN,"$77,525.04",$0.00,$0.00
GAUKIMHPZDPQ5IXEH5DFQRANXYXXRZY3XCZDFR4II5JADKPTAVZCU3KB,"$74,979.81",$0.00,$0.00
GBORX65HMFRKHSXWSSCXDRY6V4FMYFWYWOTQMF3NYUFP6ACPKKPGJCZE,"$74,522.43",$0.00,$0.00
GA552FF3JPX26YXCORHJMJ5GGDX4GOY5TUTKLNRWLSTROZQ26QNWA2ZT,"$71,518.58",$0.00,$0.00
GBCO2FIULK3PYRRXWKWUIJ6AEXLM63YEP7KAD3N46I4K3NPUGDYGE65B,"$71,422.18",$0.00,$0.00
GCS22CRB7WFAOES7GFV6N3XKGF4Z2I77AIHD3IFYX4YIIT2Z4V2V523X,"$71,417.76",$0.00,$0.00
GAXAWAMYQ5TYKGLQ76F5VVTC362RX37JXW6NQQGR2SWQLIRCAFMMFZPL,"$69,534.44",$0.00,$0.00
GBUWSSCCCYL4NILAZE6ZYIXVASBUYKKUKSUZ5U52JAYV4I5OLERHDVAP,"$67,885.13",$0.00,$0.00
GAV74OJZHWLGKIFBIML57PGGBMXM3Q7YYKWLHMIUWE6BCD4U5KHONRKP,"$66,503.09",$0.00,$0.00
GBOYKBTFCAVPWRKCHPRWRCDTTFLEWHYWI56X5F56J4F6RWJ6KLR4M5ZG,"$66,034.41",$0.00,$0.00
GBTCIFMWQ63FIYT7D6Z7FT77IFWEPOXNHCIWLQIZI2K5O4NKCLMY6XH7,"$65,863.02",$0.00,$0.00
GABVFCOJFRCZLFN2JNWNDUASR2ELSWK626DXSN57DEU7R2CLNSTOI77K,"$65,627.86",$0.00,$0.00
GAIEP3JUH53KPD3OLKJOFNOYXY52BWJPKWMXZQ7D5UZQRWVY7BJBWYVA,"$64,617.44",$0.00,$0.00
GCD5VOWXLGYPHDQNLJPJL22G6MR2HLYZH6LY6FUCMG7PYZ24BWFQQXM4,"$63,586.47",$0.00,$0.00
GAEPWLLB3ICOZM77VQJSZNMCFMKCJ2XVKVQYPMKB23EU5ZTXHEN3OH7M,"$63,153.22",$0.00,$0.00
GAB5GNXK5275FRHIQJWUQLRLYE2NWVJGMKYWPNSVWB7DSRD6D63PHEHV,"$62,285.70",$0.00,$0.00
GBHD3V2XKX6DXHYZDSHA2UYZTO4MKB2R6QNSCDT4XEKNGTLPXT7A36EA,"$62,172.93",$0.00,$0.00
GABSPSKR73ZBH5TYEN4CDVY4CCY6RCZUH5VMDODA7EITSB7TCFRBWABP,"$61,905.78",$0.00,$0.00
GBTCPZ6WO3RX6BAFDF5DYD2W4B3BADTQWDQUXHSGPSXQZV3Y5KDCS2WI,"$61,285.57",$0.00,$0.00
GBPPGSHXAVDCN4OU45QIBIFIMA4VWKI3RY4X3Z7424KXKYIQBPCJR7CI,"$61,233.00",$0.00,$0.00
GD6SPV6LLALS4KQ3XR7BMDGZWTUOVMPNT2LT5VUYVGI25Z2UEFRCXDPR,"$60,487.97",$0.00,$0.00
GCMGT77O4BFOCMHUDVMOKDUEG3EKLSG5EEU5GTXMWG2LYD5UT5E7ICAD,"$60,483.44",$0.00,$0.00
GBINXP5ELN6WRT5L4EXZ3JHBWMZ6TYC5TNG73HUCDNI4AFIDIZFYNCTY,"$60,314.01",$0.00,$0.00
GDCXJCYE53TYXPFXVL2HIN3MMRQJWXNBNUDDG32ZCBQVIJ5QCR5WOVLG,"$59,823.29",$0.00,$0.00
GDR4BLPVFJWTSV7SJNYWKZHIIDANTAEJ3G2OIM4V6UVGJYFJXENWKMM3,"$59,271.61",$0.00,$0.00
GDGAOALQ4WL2YXEHXLQYTYKR7QM4Y5OCT5AKXVOXKDXR2MZFFIUWUSBE,"$59,007.36",$0.00,$0.00
GA4D4MR3M7B3PQVED2XDBMLVBPCHTBIOYODQTBVWZG5FVQA37A533DF3,"$58,496.25",$0.00,$0.00
GCUQQDWX34F4NPCCL6X6YJWQ742E6LHZLQ6HAJ5E4K452DMJTKDFUR2P,"$58,487.42",$0.00,$0.00
GBAV4AIV7HLQ3XT6KGGNXR4CAXQROSY5LV7627HM5TEQ4YTZHY3E2WN5,"$58,059.42",$0.00,$0.00
GACKTI7JNBSQFCXAGF33DY5GP6ZAG7ZC6I5BSQ76YWTJ6FBD3DZTP6WJ,"$57,506.57",$0.00,$0.00
GBM6MMQKUSG3WZB7Q5GG7UNH57Q75G6GGUQGG42GRCQ4KKYGPLWBKS7Q,"$56,882.59",$0.00,$0.00
GBP5J6WAOYA4JGVV6ZA4YDM2AUUSBFZFT4WXIDBOJCYAUIWTQ2GZHITB,"$54,024.89",$0.00,$0.00
GBEPTCX3INOO7565JDEFNCGMKQVTUIWDB356BASWME74RDJOCGQEI7WP,"$53,887.03",$0.00,$0.00
GBMAG57VRZQUCXLU2V5N6GMCSGXCQPFBDGD7IGZHC5CCMSGPA7TAEJH4,"$53,790.69",$0.00,$0.00
GBH6QNDOHUGRKAANQPTU4FQCWJG57W2ALJIW6O3TIEWDL4DANGZTYJJH,"$53,480.98",$0.00,$0.00
GBT74YKTVGCWUUQ2QG2LVB7DXHP53BLRDUI3K6CBOAH5B5Y5KS7VO5HL,"$52,820.16",$0.00,$0.00
GA3QJDJ5K4EHHSPIWYLBQPBI74FWLIEGK562CVE3KX5YUSODZZZ5UUKK,"$51,968.56",$0.00,$0.00
GCT7SUCV6Y6YGH6JI7K6DQRM4WDWHKFSSATWJCGS5GJE4FXKM4WXTRF4,"$51,943.39",$0.00,$0.00
GAYXZPZ34U67SA33BVGPV7SWDRFI3LEF3CXUJ3JDP5RHXATHLBDOKOBC,"$51,842.78",$0.00,$0.00
GDKQ4ILE7EVKXYTVU7TOXXRQQUMY74HKJPTFC4YB63UJIBUP4XEEVX66,"$51,135.79",$0.00,$0.00
GABRCFNQKXEHJX2SMRMWNL7K6ELV6SGNPQLNOF66Q5HQ26E42CJ3MW3S,"$50,876.15",$0.00,$0.00
GB33JTBIN3ZYWXXA7SZYE3DZQZ2WSUTKC4NDCGBTFBZ5YNXKSVZBYS77,"$50,444.45",$0.00,$0.00
GD5P5DSWARGNPEJNPYQCKJZQ34T3KSIGCOKWKIXDARJWGLCJNMP7QBOT,"$50,377.46",$0.00,$0.00
GCZCKTFEJPCEVLFB3DKZTQVNIBFXL3X3BA4JNBE773TE5LTL3NCD3ICD,"$50,005.85",$0.00,$0.00
GD6PSKJKUQY2CIH56ER27U5Q4LVSSPNCIUCHK45CGIPQHXFGZIYIKFD4,"$48,823.58",$0.00,$0.00
GACJFMOXTSE7QOL5HNYI2NIAQ4RDHZTGD6FNYK4P5THDVNWIKQDGOODU,"$48,769.72",$0.00,$0.00
GBP5SEQK5BJZNUMJD5CZ7NTP3BCX7NXFPJEEYPQF55GSNJXJA2DMRFJP,"$48,059.62",$0.00,$0.00
GAQC5NWLHXVVV7FQYKXYLABG67BAPZ2N6XRBXDMY5VQDOCM6QGCUKFWX,"$47,731.05",$0.00,$0.00
GD5GLDYHUNOECIZS6DOMIJ2LQMWGLTOFA7JAOPTZRSATNWNWFDIQBEBQ,"$47,677.58",$0.00,$0.00
GBNFZEDEX6KUSXHOCJH4KVVEEUDSKJXX5TYTSH3TARTEARPIWGPOHHS2,"$46,700.26",$0.00,$0.00
GA7ZGTXL74FCGOSD2ROG7RFGXTA7XNEJHDKIE22IVTQWH5CE3DXPGOF2,"$46,681.06",$0.00,$0.00
GA7JXT7PE4TSG6T2JPXFBJXN6SWI3MXC3QVKBKE7UD34NWPQAZLARYEC,"$45,941.78",$0.00,$0.00
GA7Y6K6RXCQPZHZJ2RYXJTWHD236WFWOSVCADMXRABHF5K4TFEOGDM7N,"$45,716.81",$0.00,$0.00
GDIQFXBZAS4TA5Z7JSCOLGSDFMK4UF4SPYER5IVPNRPUYFQ6U4GKVZ7P,"$45,599.21",$0.00,$0.00
GAYM56FV7WITAKBDM4OK7YDLXMQ7TFWL67FG36NX5PRDKC6GPPTBZHIQ,"$45,513.07",$0.00,$0.00
GAEBP4VL2XZTJ46IBYTZ5TTWDYAEEXMPNB45W6GGEUSIYWDFGWM3IHTQ,"$45,385.84",$0.00,$0.00
GD6KB4YPGKONGKSPRVEOUDLSCIAD42XHCB4QWLR5AGNF2ET5T2OUZZQT,"$43,849.24",$0.00,$0.00
GBZ73QAOAUXOUG2YFCAGGGRLD4P3MV64BT5Q5GL5KIMBKJQOFBEQAATK,"$43,044.31",$0.00,$0.00
GAXGTZZ63KF4RPMCMITTSH3R4QSLRJUTROCEHPOTVBCRYEKXQZ5RUOUR,"$42,652.24",$0.00,$0.00
GDF7WYP73HPAU7VMV5SVY5MYAGY5URVTY6W7LCDFVBQCUC7G4YTGEIGX,"$42,561.58",$0.00,$0.00
GABFXNZ2QROIRLH7HUFCXOEI3QSZPK5UGBH6XNRM2HD6OHIO4NLIYF3D,"$42,257.14",$0.00,$0.00
GCWOPRX2SUO7Z4WA2FH4FUSP4SVWCPBQODECULK33N22HTIPCWT2RQCR,"$42,216.36",$0.00,$0.00
GDJUE45C6PEO4ZACHLDVENTTVI255LKN3CYWUVNEKNVEI7EOKIHMRABT,"$42,127.42",$0.00,$0.00
GBOHTNFBSE3G3TM7CEG4QNZ3EGCSMLNYYX64BUFRVJMXGTA53ZJ7MBHH,"$42,056.45",$0.00,$0.00
GCH3LIQM6VCL6YSEJEZYISDQBIEP2N7TQIX2RX7DLOX5QMWSN4FLLF5D,"$41,955.45",$0.00,$0.00
GDKNKNCIVE4RLNJRWVWD3JKU66BI73CLNZN47RVK6QKIKJYKS6WAJKFM,"$41,792.46",$0.00,$0.00
GBID6BSXZF27EFGIFNDHYAGGEQEQNMK5ZTK7PADMKQXX32SPQKX7KNST,"$41,317.27",$0.00,$0.00
GD6XL554MFYIMLDCXOLCF6474FY5FD22OPGAAQJCL24Q32YB2KKPGPZM,"$40,694.29",$0.00,$0.00
GAPLXXBHMVBKUNOOOMR2OFHGSWNN5MYFJRMZOECOT6IKY5RV3UGWFVG7,"$39,836.32",$0.00,$0.00
GAWUMDMOMCWZCIL3PTPFLO6CKXN2HAARUQXHIOWE7VVPL62ZY3HORO4W,"$39,470.29",$0.00,$0.00
GBWJY4LMYXPSFJLBQ3PCN57VKB6A3TIWXS73UA6E37QFGEGDDTKEAW54,"$39,404.22",$0.00,$0.00
GAM7YXVB7GO7DZIM3DFJMV447V75O52THGCO7OJVJFFI5BVEQGJ7FQFD,"$39,277.67",$0.00,$0.00
GDSANA2XZQJLPEWXKAF5XYOFYNJXCDQNFUJMW3EVGASIAXALG65YIHXC,"$39,008.04",$0.00,$0.00
GA745X5K3VA72NOU734LJDEA4U2I5DKD336UNNBLXDRCZUNJO4P3PWFD,"$38,341.45",$0.00,$0.00
GCRYY2PDYOUNZV6OYBAXRAXZHGF5K3P7NLBPUSB6LH7LJA4BE24J7XQ3,"$38,315.41",$0.00,$0.00
GAZYV43MN6GT6TQ4RWS6DXIBQ6R4QHK4VLT43TUHEBVJKKQZBAUTTG42,"$37,828.87",$0.00,$0.00
GADSMBB2PRRSRJMTVMTQQBR4EZLJM6XZQVR2244JEZDWHZF6ZOLABJDN,"$37,097.72",$0.00,$0.00
GDRB5RSI4QBVNAMBZFVPBUP64GSPGYFS7RJAMZ3BMOMXSM7FR6BXZQ4T,"$36,840.14",$0.00,$0.00
GBIWWU5X33LOID7XEOPZBP4CU6OODVNF5GNCFCHOYHFAHL6PDOVAM3NL,"$36,530.48",$0.00,$0.00
GC4UKLP7AZJ7X4UGVGJOWOIU2HYDJ3OGR6LAP52I23PTG2I2WQBZXSCY,"$36,456.11",$0.00,$0.00
GBWRDPIWFWEK3NFK76W3BARBKJLDYEAYN3NBMEKILJLYLGLONGQIZWFD,"$36,401.96",$0.00,$0.00
GAX6W5OVX6QFUWMEGOXGRILWM5HAJGRDODFZZK23RGMVVTR2GHND2EKN,"$36,379.11",$0.00,$0.00
GC3A26PHWN6ELHS3QKZ5B7RRG7X3BBPNMPD6INDD5DU7UXF5EKMLWCRH,"$36,161.81",$0.00,$0.00
GAFJ6QFZUEACD32VN26S2WDAIU3KKTQL6NAQBWWTYNUN7NIFZQT4KMG7,"$36,151.61",$0.00,$0.00
GANTO7DA5O66PG3TVRP7RTTA4X4RTYMLZHZT3S7RIBJHTNFJNLOZ47DD,"$36,095.39",$0.00,$0.00
GBM7ESVFVEYJQ6MOLNXPMCWNAONCWBBSAYJQQJXSI264QETAJRYIZU3T,"$36,011.82",$0.00,$0.00
GDJVHYUHEX65T765TKVT6UHWH2BF6MJ6VF7YY5OY6NTYGYABSIT5WSTR,"$35,775.77",$0.00,$0.00
GCKW7Z5AZBXYCAIHWIHTE2QVRAZWWX2CVVQQPAVSVTL4MFU7B46YWQ5U,"$35,341.81",$0.00,$0.00
GCQEFBTWQMZMKS2PAFUKQN7QE5YQ4SFSU5PTRAV7WETVT6LNKDE5ARA7,"$35,198.69",$0.00,$0.00
GA3ZLBL2MFXIOCB7RPPYGA4M65NLYZCQXODQG56RFCNSOVK5C6YB77FP,"$35,043.29",$0.00,$0.00
GC7OA5EKIKY4DFLKZMDIHHINW3G66UH35GMFV6ADEGCI6P7SRE67C2EN,"$34,657.04",$0.00,$0.00
GA4TKIGK4B5F73M23R3VIXPE25LV54BP7XXL23OFNOP23VDDTUL3BIPH,"$34,287.46",$0.00,$0.00
GCL6K6A2AHQBA4LD2GLY4IWNWRZYI3CTUZG2JZ6XGOJ3RIKIJ75S7AKQ,"$33,031.06",$0.00,$0.00
GASOEOEB2UOFPPNJ3ZR3UU35FLLXP6MTI24GWHTPXIVL32V4YP642GQO,"$32,907.01",$0.00,$0.00
GBH77UXSBGEIQDAJRE74N3QL3R2DQ3YGCQNJG6KEICW64QQGCOAAZZ2C,"$32,742.13",$0.00,$0.00
GAEXYHY7PGYV52ZVCV5G6BAGNSECTAVCMCTVUM5XELYXXM34ZP5FYZZE,"$32,677.93",$0.00,$0.00
GDXRJBAVNJQNEYMKCH4DNVMQMHZPYSDS4O7JK55ECBOHCZ7BPEJ5NOA7,"$32,010.08",$0.00,$0.00
GASS4ILE2NOM5QB2SMIJIINA6MPAXXA5IARJAQTA6B6WOL5OULPTXAWC,"$31,783.16",$0.00,$0.00
GDD2TCEIGLGMTUIK2DGFZ4DCXZIOJ4CWWITAFJ45H3KBOXQBXZRGYO7R,"$31,600.39",$0.00,$0.00
GBR7BXM3DOMIBURZ73CNBC23DVFVVH4TQCHFG4Q36UKQMMMCDRXP4LL7,"$30,975.69",$0.00,$0.00
GDN6VIZWLVBL4QJMION7DOEV6WRJV6P43LHN4FNJ6WPZW4BE4Z7FPJ43,"$30,971.73",$0.00,$0.00
GBYA7H6MZRAB5UAGA4BFQHGW34P573W3LMKVZW2FA4ZLMYOUUEMD3Z5M,"$30,965.40",$0.00,$0.00
GAAPZBUYBDVETTP7LC3ENOPU2DLSQ6A5TAMXXHQXEQ2YRKBLJFGXVV2T,"$30,923.17",$0.00,$0.00
GA5VFDWVSZDJPI5POX2MFLBDMSGQPLOPJMYARNGMV6B5B34JMKBHFIAD,"$30,867.35",$0.00,$0.00
GCT4VDTU3P64MGQ3PVW62SRUTVERESIRRQJBXPXQPHOWRL277OGP3KPU,"$30,749.30",$0.00,$0.00
GAF7BAU4MCHEHQZ6XLQ36XQZTADRXEQB2R7XZPVJW2EN4BIS237E6GGT,"$30,738.14",$0.00,$0.00
GALRKAJ6IUO6PQUDL4EK5GBT2A3LTMLXDVBRFTQWYOYG6RLIJ3B34NU5,"$30,625.04",$0.00,$0.00
GC4TOU4ZHNUBSD2EGZG6YAW23UU5TEXM5QYVB76RTM6WRWUG5VPOME5D,"$30,595.69",$0.00,$0.00
GCPTKPYM4IG7FDV62YHJGVAETKIL27BRKG44FPGBCNCKMK7DAY77IVML,"$30,439.06",$0.00,$0.00
GDJ4B7I6MD22JBILHOLGIJ2YM7ERWLWQ4PVKD4AWAGWS4B2R6NIZF6OU,"$30,415.29",$0.00,$0.00
GDZRCP2TCJVAYC77KUNSZLKVRO4VZLXXQ42BFGWXYWHAWRHUU47VBFSZ,"$30,372.34",$0.00,$0.00
GABTG3CGIAPXX2IJQW3GFEL42ILPJH4JWQHZQ32YCMBPOY6AFD65NUWI,"$30,340.48",$0.00,$0.00
GCZDUPE64LTNBJDEK5EUBVPMCZ24MKAN4SUJSZVCFM5RYTWGYDSEHXNF,"$30,264.65",$0.00,$0.00
GA2ZEA4SRDAQOW3Q3UKPKXO2VY3SCMCUM5T3IBMV6NDJZ5677FT34GYC,"$30,060.03",$0.00,$0.00
GBSYZQFWRQYATCRHREJ5HE55DK6DQU26QSPCBSOHM2YILGOLFYZNNQSV,"$30,004.90",$0.00,$0.00
GBLTJXRFX5IOPXAAWBIFTF5GN2GM4L33QO2U2KKSZT4OL7VYHGVITNW5,"$29,800.28",$0.00,$0.00
GD2GFNODT2OE7WHRXAPAV2QKFXEN625NKRUJFHEGBB3R6RZRCQ53QUJH,"$29,712.51",$0.00,$0.00
GAU57QQFRSRUXRDO3N3A6XDKNKMZSXC422HXDMYGN4MOTF32MZTUFGY2,"$29,589.07",$0.00,$0.00
GD4FNJO3FUL52GREQOLFKWWMADBBR33HC44YLRUSEB443I4DICKCTM4V,"$29,488.73",$0.00,$0.00
GD4FPIU7SHTOPO2KFDNWUPFW2C6Z2JGDTFDLEDNT5JON2HBK6Q7HN3DV,"$29,407.23",$0.00,$0.00
GBFA6CCB4PZ22OXYP4LCZ22VZG636F7LQS4IYELJLABUYXPER74TCCLV,"$29,406.45",$0.00,$0.00
GBX26E5OJDI5M6NDQU426SKB6S3U6BSOUUOHTDYGODC5HPDVZ3Z2KNCU,"$29,304.64",$0.00,$0.00
GAXYROMTRZO4W6DL6VBILVHLTFKJO6HWOFL6PFGPTDFO7TLM2L5F24QU,"$29,035.96",$0.00,$0.00
GDCY7VTIPTOVLTPDICZ462TQD6PWZG25UZTHF73PPGXDEKTTCNEGEASZ,"$28,743.31",$0.00,$0.00
GDOO7TVNNH7PKX57F5BALAMVKE32VQOCDZ3VVY7T4TBD3U7MN5T4KMFO,"$28,466.67",$0.00,$0.00
GA5G2WHW25HDD3WN4B4IXWPIS5YKTRHLPK47GRZPXGL3RMOODYTDNW7W,"$28,283.17",$0.00,$0.00
GAXX53DMPL37622ODPH7PXVMVV2EGPV4BOYJJNFMQAX7FNRGKEDJLNWX,"$28,045.78",$0.00,$0.00
GBIA6EETFFO764HTLGQEW3C45MLGGCY4XHJRJV2M3F5FQQAVUWVMM5UL,"$27,791.40",$0.00,$0.00
GCCMBVZVBNITJIC6OT5RBT3BHVBCBUVGSKFH7AGDJRUJUYBBXAPTMHNJ,"$27,690.37",$0.00,$0.00
GC54F4JGHT7QWSWFYC6QFJXMN5QCZP52VSC3H6IIQBKUSLEIJ2T3HLLC,"$27,458.14",$0.00,$0.00
GB2GHXAQI2LEOBO2LBWZKPQIKXHP5KOHPR64N7EQ4P77XW6N5FOHNCNP,"$26,960.75",$0.00,$0.00
GACHLS2RLS6EAHO2ADWGPLGQNO22OVL7QMIWRPRHR2UEKJ2VCYU7A4X7,"$26,918.68",$0.00,$0.00
GCYOQQYR5U6AFEC34YVSZMYZHXWADQPEVCTIMKOADKVDEUXZEIEWDO7X,"$26,860.18",$0.00,$0.00
GAD2NZH7LOFMGEMXAMZBHKNQNJRMGUMZPA27HNETT66KVS7DZMH2C4PW,"$26,706.50",$0.00,$0.00
GBO34VRDFMPVQNG3RF4ZBDON7R3QO3TDMBVIVB5RYKROLHUPIY76XP7O,"$26,621.18",$0.00,$0.00
GD7GIRSUP4MRKX64TVXDQVCFPSACUUCEQQMKNBJALUYIU5ED7S2WC7YG,"$26,574.71",$0.00,$0.00
GBYFZBKI3B3WNDMFK7UICL4ZVFBXO2EBRBQ3TYRTN5CFLORKQK5RM7TG,"$26,495.85",$0.00,$0.00
GBNZXBH7SWFPU7WW2D3WGMWZHSH2L3G5XFQO3FTLU5ZIYINOOAI2EQVI,"$26,436.33",$0.00,$0.00
CCR63UWZKPVR2OAZJEBHT4OKBLHX2OAMUYZ63JLO2V72FY3SKAXQTGF6,"$26,245.50",$0.00,$0.00
GBJNRFCJMGYNPIPIITW6ZGBMDDNUJ2EP5YIULZ6D3S4ZVI3NHTJLR2AS,"$26,132.95",$0.00,$0.00
GDL3MQYYM25KP5VZZ5T557VFNCLEKRR4LTLQXGZVWQVX3HMGZTO6IHBP,"$26,082.34",$0.00,$0.00
GBSRK7AK57KYNKNIGC3NQYGGX43N57KR4UNCPCJ473X5ZFGASUVWBHHK,"$25,764.64",$0.00,$0.00
GA7QRAQDI7XMOQSQBLAQR2F6CYXPMMKR6PV54TGOT3Q5EV4UNXJD774J,"$25,626.21",$0.00,$0.00
GDWOBYJSSSXAT7PJ6QR5OAWKG2JGRIQX5VXO24KSTMYSOMSB46W2ZC4A,"$25,576.15",$0.00,$0.00
GBJRPW5HYJMSX7TDZNZBZWKNIBCPDRM6QZGCTVQNFUOXZXYKT4F35CKN,"$25,575.79",$0.00,$0.00
GA7G2K2EHEOUKYSF2TEQBKFOFS3VWPQ6BLOBH5VFMIKKRQP2JNULLGVB,"$25,430.15",$0.00,$0.00
GABXHHAUMK3JL7GP74ZET6YXJ3WLCLSGMVHH7RDYUTTW5FZCORE7LEBH,"$25,257.75",$0.00,$0.00
GDDZUQHYNOBHNXGGXDV55AA5JYKMDPG3UDIBEXLD5WDJFRPC3RV25RRH,"$25,155.15",$0.00,$0.00
GBS3SDODZV722DNIO7JXL5T3UACDIQTGVH66JGMB7YS5IXNJ6NLW3LU7,"$25,120.65",$0.00,$0.00
GBNGE3Y4MGBBIPYY2754GIYEE2HFEPHTDV5E7EN5CDFYF4WPTERFMPPU,"$25,111.72",$0.00,$0.00
GCLV4QX3OYGMUQSEFDJZ46KM5HB77VJXXVLRXSFVBYA6F6FFZBROH5PE,"$25,011.39",$0.00,$0.00
GDE23QRJEF6OSJH4VU2OVUICG2ETIKARJZUTTQAWKQOHYU7A22U32YPW,"$24,787.17",$0.00,$0.00
GCLCYO754IJ3UOJMGMDMZPUVS3XD5C4P2MPBQ6W35FNPJSVOMUJ676E4,"$24,234.03",$0.00,$0.00
GBQS4NGTCIJZEMBRSPQA4LXS5TI2RUOJSDNIBZUWKZQY23K7APWRMHKK,"$23,835.82",$0.00,$0.00
